true_class,fbc,spg_hit,sharpness
2,0.111208,0,10.506886
2,0.138942,0,10.502466
16,0.057196,0,10.546686
2,0.112125,0,10.537886
42,0.178746,0,10.445863
42,0.113237,0,10.486855
20,0.127952,1,10.465210
18,0.128300,1,10.476508
19,0.198782,1,10.472150
19,0.173935,0,10.486320
19,0.158738,1,10.498346
19,0.155183,0,10.518817
42,0.096923,0,10.529114
41,0.077895,0,10.500452
26,0.143368,0,10.478291
41,0.168096,0,9.804724
18,0.099043,0,10.456946
40,0.146337,0,10.506071
40,0.124978,0,10.517957
40,0.076580,0,10.564392
40,0.086726,0,10.562005
24,0.151027,0,10.511760
16,0.060173,0,10.515771
43,0.264947,1,10.376145
43,0.237612,1,10.426731
43,0.243322,1,10.329260
43,0.188431,0,10.475735
27,0.145568,1,10.535933
33,0.118197,0,10.480829
10,0.080990,0,10.548051
36,0.311274,1,10.153925
36,0.397075,1,10.025375
36,0.203460,1,10.524137
27,0.137323,0,10.534502
41,0.056934,0,10.428675
18,0.092150,0,10.533071
4,0.056672,0,10.508295
4,0.059734,0,10.509585
21,0.180812,1,10.476179
19,0.128947,1,10.577027
33,0.204819,0,10.361862
10,0.129345,0,10.558310
46,0.096923,0,10.541200
45,0.176633,0,10.513226
12,0.104115,0,10.546429
4,0.132543,1,10.479634
33,0.144288,1,10.502430
19,0.166606,0,10.561129
10,0.145927,0,10.561018
12,0.145414,0,10.541693
12,0.157376,0,10.528307
21,0.155861,0,10.511465
3,0.238390,1,10.319386
3,0.193418,1,10.366886
3,0.112318,1,10.401293
3,0.153465,0,10.469301
1,0.114740,1,10.532030
1,0.147776,1,10.514635
7,0.066311,0,10.508183
7,0.149219,1,10.518164
19,0.113285,0,10.556780
10,0.065557,0,10.566740
7,0.125522,1,10.550299
18,0.151804,0,10.477859
46,0.073645,0,10.490929
7,0.157585,0,10.522268
7,0.168256,1,10.522551
10,0.121086,0,10.524796
46,0.093783,0,10.496368
20,0.116441,0,10.480843
20,0.117318,0,10.539564
20,0.136717,1,10.550167
20,0.145363,0,10.518064
20,0.150458,0,10.518538
20,0.118246,1,10.480313
20,0.101644,0,10.465097
45,0.149580,0,10.430508
8,0.158528,0,10.512687
8,0.120595,0,10.508038
8,0.091778,0,10.516211
8,0.110870,0,10.545721
8,0.144594,0,10.536777
8,0.114934,0,10.483139
1,0.065645,0,10.434599
1,0.054453,0,10.378921
1,0.112028,0,10.426785
11,0.131342,1,10.520096
11,0.151752,1,10.545561
46,0.183706,1,10.177521
46,0.102023,0,10.564049
38,0.155287,0,10.523762
21,0.196429,1,10.433190
18,0.131842,0,10.530836
18,0.112318,0,10.533504
21,0.196709,1,10.500594
18,0.124484,0,10.528114
3,0.148497,1,10.513218
10,0.089640,0,10.567648
0,0.152842,1,10.487848
0,0.209373,1,10.421678
10,0.100649,0,10.568022
13,0.137070,0,10.550110
13,0.132343,0,10.516323
24,0.221840,0,10.369719
17,0.133998,0,10.553571
17,0.152012,0,10.566725
24,0.201314,0,10.448811
17,0.128400,0,10.449043
35,0.051810,0,10.567788
35,0.175444,0,10.519412
29,0.170500,1,10.521870
0,0.253243,1,10.319044
38,0.102783,0,10.489773
24,0.166181,0,10.488541
11,0.108465,0,10.336773
11,0.087880,0,10.497463
38,0.192695,0,10.409799
44,0.092943,0,10.587708
38,0.088297,0,10.465167
37,0.141329,1,10.397285
24,0.198334,1,10.481731
27,0.145260,1,10.526939
0,0.162896,1,10.505440
17,0.098241,0,10.474490
17,0.141481,1,10.516573
23,0.181902,0,10.515795
9,0.160366,0,10.547556
9,0.128997,0,10.520612
9,0.179234,1,10.516550
9,0.145773,1,10.528500
0,0.164324,1,10.512882
17,0.126215,0,10.506742
5,0.163425,1,10.486660
5,0.143419,1,10.460488
9,0.152012,0,10.518726
32,0.076490,0,10.516310
13,0.141736,0,10.499520
13,0.110725,0,10.551465
47,0.084286,0,10.525042
47,0.151079,0,10.538062
47,0.107362,0,10.571356
17,0.137070,0,10.463287
12,0.099845,1,10.545776
32,0.119664,0,10.557472
13,0.092710,0,10.525526
13,0.164589,0,10.482546
41,0.129644,0,10.546895
41,0.219280,0,10.015262
16,0.085896,0,10.577251
16,0.101786,0,10.600914
16,0.095281,0,10.585455
27,0.105068,0,10.490099
27,0.113915,0,10.548643
22,0.149942,0,10.497638
30,0.204196,1,10.482458
46,0.135406,0,10.530294
37,0.186064,0,10.466077
37,0.156696,0,10.450691
31,0.153413,1,10.520607
11,0.132844,1,10.499496
11,0.132944,0,10.552042
11,0.107410,0,10.529234
21,0.173021,1,10.441722
21,0.118441,1,10.444621
21,0.142500,0,10.503887
39,0.142704,1,10.508553
39,0.112656,1,10.487439
22,0.207547,0,10.462066
22,0.142194,0,10.572913
21,0.204253,1,10.478728
34,0.157952,0,10.496962
9,0.146645,0,10.559875
41,0.247199,0,10.133579
32,0.104305,0,10.565305
31,0.112560,0,10.508442
36,0.101217,0,10.527444
0,0.152478,0,10.466561
44,0.105020,0,10.572300
1,0.060349,0,10.483435
28,0.151701,1,10.545218
39,0.160314,1,10.420467
37,0.142551,1,10.385038
7,0.109859,1,10.513288
28,0.134601,0,10.494297
1,0.100129,1,10.505699
1,0.094859,1,10.509842
32,0.111835,1,10.505100
30,0.144390,0,10.507515
38,0.059647,0,10.518907
28,0.108801,0,10.538589
28,0.110147,1,10.567419
28,0.135456,0,10.532362
31,0.119860,1,10.536007
4,0.102830,0,10.544934
31,0.108897,1,10.501280
27,0.110388,0,10.547826
44,0.171035,1,10.571552
14,0.063079,0,10.507749
14,0.066400,0,10.432727
3,0.132292,0,10.460485
9,0.138182,0,10.554863
26,0.148909,0,10.469341
25,0.162738,0,10.531639
29,0.122709,0,10.464223
14,0.058682,0,10.494236
14,0.098618,0,10.551462
14,0.088112,0,10.499220
29,0.179343,0,10.402696
32,0.079122,0,10.508601
25,0.146748,0,10.512801
34,0.173128,1,10.425034
28,0.112850,0,10.529032
26,0.123694,0,10.473999
34,0.187604,1,10.490372
35,0.083598,0,10.563795
22,0.130093,0,10.497992
30,0.144492,1,10.514611
30,0.211318,1,10.450953
49,0.107171,0,10.487663
37,0.154453,0,10.480148
30,0.163055,1,10.478979
30,0.113285,1,10.513262
24,0.316128,0,10.255035
47,0.172913,1,10.543364
47,0.123497,0,10.554705
34,0.173343,0,10.432026
3,0.163055,1,10.379107
3,0.356795,1,9.871382
49,0.117221,1,10.536059
49,0.094485,0,10.505735
49,0.113867,0,10.497787
49,0.083644,0,10.502879
49,0.106549,0,10.497414
49,0.157010,0,10.476137
49,0.155130,1,10.489916
26,0.136767,0,10.496553
22,0.134249,0,10.525180
15,0.115614,0,10.488571
5,0.215863,1,10.365827
30,0.255087,0,10.427812
15,0.163583,0,10.396854
14,0.123743,0,10.552111
26,0.255456,1,10.438799
34,0.159578,1,10.449419
39,0.165703,1,10.440723
39,0.200863,1,10.431651
39,0.143725,0,10.454252
9,0.141329,0,10.526528
15,0.188983,1,10.426783
25,0.103211,0,10.558653
26,0.267766,0,10.366004
6,0.187935,0,10.488567
6,0.149787,0,10.524650
36,0.136868,0,10.509176
0,0.122906,1,10.484173
